learner,csl_variant,split_seed,model_seed,level,negative_retention,precision_expected,precision_observed,abs_error
decision_tree,weighted,789,789,prev_1pct,0.1279614588076318,0.1612745118147332,0.16149647300048872,0.00022196118575551482
decision_tree,weighted,789,789,prev_50pct,0.0012925399879558,0.9500904271677811,0.9505697112446246,0.0004792840768435003
logistic_regression,unweighted,42,42,natural,1.0,0.017164281783159055,0.017164281783159,5.551115123125783e-17
logistic_regression,unweighted,42,42,prev_0.2581pct,0.5,0.033749281390551555,0.03375561218425109,6.330793699535486e-06
logistic_regression,unweighted,42,42,prev_1.2765pct,0.0999997901720798,0.1486758905262912,0.14887873395819587,0.00020284343190465903
logistic_regression,unweighted,42,42,prev_10pct,0.0116328598916028,0.6002027658031497,0.6004670294181729,0.00026426361502318585
logistic_regression,unweighted,42,42,prev_11.32pct,0.0100003986730482,0.6358782721819891,0.6363628912099206,0.0004846190279315099
logistic_regression,unweighted,42,42,prev_1pct,0.1279614588076318,0.12008925314835767,0.12018126585284694,9.20127044892749e-05
logistic_regression,unweighted,42,42,prev_50pct,0.0012925399879558,0.9310887152791567,0.932367157783377,0.0012784425042202674
logistic_regression,unweighted,123,42,natural,1.0,0.011519246475810643,0.0115192464758106,4.336808689942018e-17
logistic_regression,unweighted,123,42,prev_0.2581pct,0.5,0.022776129106676594,0.022772310328914237,3.818777762357173e-06
logistic_regression,unweighted,123,42,prev_1.2765pct,0.0999997901720798,0.10437209069586595,0.1042073137304344,0.00016477696543154563
logistic_regression,unweighted,123,42,prev_10pct,0.0116328598916028,0.5004428767025677,0.49991988764393674,0.0005229890586309627
logistic_regression,unweighted,123,42,prev_11.32pct,0.0100003986730482,0.5381706842646468,0.5380115150547047,0.00015916920994207828
logistic_regression,unweighted,123,42,prev_1pct,0.1279614588076318,0.08346875673000737,0.0833697865540056,9.897017600175861e-05
logistic_regression,unweighted,123,42,prev_50pct,0.0012925399879558,0.9001593227164182,0.9001711290610753,1.1806344657139256e-05
