learner,reference,reference_R_train,R_train,split_seed,model_seed,exact_seed_match,matched_by_determinism,same_test_observations,reference_pr_auc,pr_auc,delta_pr_auc,reference_ner,ner,delta_ner
logistic_regression,unweighted,1.0,773.7010836478753,42,42,True,False,True,0.5039687570139619,0.1487063069716073,-0.3552624500423546,0.2498868231012079,0.2130063622487797,-0.036880460852428215
logistic_regression,unweighted,1.0,773.7010836478753,456,42,True,False,True,0.5220509431039683,0.1608905143654167,-0.3611604287385516,0.2260806329105404,0.1884088385226394,-0.037671794387901
logistic_regression,unweighted,1.0,773.7010836478753,789,42,True,False,True,0.5345349621036724,0.1558189503126832,-0.3787160117909891,0.2223651380998104,0.1854378897472769,-0.0369272483525335
logistic_regression,unweighted,1.0,2000.0,123,42,True,False,True,0.5337812107525854,0.14925366058650258,-0.38452755016608287,0.2162729915161711,0.19302289151245947,-0.023250100003711638
logistic_regression,unweighted,1.0,2000.0,42,42,True,False,True,0.5039687570139619,0.1278182720053408,-0.37615048500862114,0.2498868231012079,0.20190805074438783,-0.047978772356820076
logistic_regression,unweighted,1.0,2000.0,456,42,True,False,True,0.5220509431039683,0.1444996394435621,-0.3775513036604062,0.2260806329105404,0.17961065747847818,-0.046469975432062216
logistic_regression,unweighted,1.0,2000.0,789,42,True,False,True,0.5345349621036724,0.1326936314320793,-0.40184133067159306,0.2223651380998104,0.1854358885029784,-0.036929249596832
logistic_regression,unweighted,1.0,5000.0,123,42,True,False,True,0.5337812107525854,0.1420526144320548,-0.39172859632053064,0.2162729915161711,0.1890440730867835,-0.0272289184293876
logistic_regression,unweighted,1.0,5000.0,42,42,True,False,True,0.5039687570139619,0.11801465909657051,-0.38595409791739144,0.2498868231012079,0.20078686713425403,-0.04909995596695388
logistic_regression,unweighted,1.0,5000.0,456,42,True,False,True,0.5220509431039683,0.13642937771018668,-0.38562156539378156,0.2260806329105404,0.1819800397796936,-0.0441005931308468
logistic_regression,unweighted,1.0,5000.0,789,42,True,False,True,0.5345349621036724,0.12242942278381762,-0.4121055393198547,0.2223651380998104,0.19073318382173043,-0.031631954278079966
random_forest,unweighted,1.0,10.0,123,123,True,False,True,0.8270090245568442,0.8225718589852264,-0.004437165571617774,0.1098612300338716,0.104135891335045,-0.005725338698826604
random_forest,unweighted,1.0,10.0,123,42,True,False,True,0.8283846305647891,0.8198119281705405,-0.008572702394248566,0.110672906977031,0.10673575025001719,-0.0039371567270138075
random_forest,unweighted,1.0,10.0,123,456,True,False,True,0.8264158770557622,0.822405059860259,-0.004010817195503225,0.1110388482989203,0.10518666568576102,-0.005852182613159285
random_forest,unweighted,1.0,10.0,123,789,True,False,True,0.8280678255017108,0.8197482782723112,-0.008319547229399538,0.1096049365128309,0.10216693953452353,-0.007437996978307368
random_forest,unweighted,1.0,10.0,42,123,True,False,True,0.7993036154324304,0.7884774806525973,-0.010826134779833185,0.1250439196928833,0.12200090811195864,-0.0030430115809246677
random_forest,unweighted,1.0,10.0,42,42,True,False,True,0.7967497221433496,0.7876938784044724,-0.009055843738877245,0.1323545766291466,0.11741361280712471,-0.014940963822021883
random_forest,unweighted,1.0,10.0,42,456,True,False,True,0.7949283079988327,0.7888387376667472,-0.00608957033208557,0.1267775599337143,0.1194166546105759,-0.007360905323138406
random_forest,unweighted,1.0,10.0,42,789,True,False,True,0.7946899724099898,0.7886340378584439,-0.006055934551545961,0.1249339696679963,0.1254541284058102,0.0005201587378138861
random_forest,unweighted,1.0,10.0,456,123,True,False,True,0.8166914233191555,0.8125261654293193,-0.004165257889836127,0.1195501809206597,0.11736313641098971,-0.002187044509669986
random_forest,unweighted,1.0,10.0,456,42,True,False,True,0.8167331044455801,0.8147809141855566,-0.0019521902600234675,0.1140899390718177,0.11302637027208964,-0.0010635687997280624
random_forest,unweighted,1.0,10.0,456,456,True,False,True,0.818425560312881,0.8118118768465062,-0.006613683466374809,0.1189867069380393,0.11106487047840621,-0.007921836459633083
random_forest,unweighted,1.0,10.0,456,789,True,False,True,0.820746555323804,0.8148621823594722,-0.005884372964331863,0.1164899618577219,0.11189534560347326,-0.004594616254248632
random_forest,unweighted,1.0,10.0,789,123,True,False,True,0.8262754227918255,0.8201993178247104,-0.006076104967115081,0.1035519428873147,0.10398175950242805,0.0004298166151133487
random_forest,unweighted,1.0,10.0,789,42,True,False,True,0.824819523851171,0.8195017980870928,-0.005317725764078185,0.1060345308279852,0.10176543719870422,-0.004269093629280976
random_forest,unweighted,1.0,10.0,789,456,True,False,True,0.8220793385528772,0.8206676778734099,-0.001411660679467297,0.1072251488142479,0.10408184573177466,-0.0031433030824732366
random_forest,unweighted,1.0,10.0,789,789,True,False,True,0.8240651548913299,0.8224801737725534,-0.001584981118776474,0.1075288911261154,0.10273815637949142,-0.004790734746623976
random_forest,unweighted,1.0,50.0,123,123,True,False,True,0.8270090245568442,0.820723424298153,-0.006285600258691182,0.1098612300338716,0.10933051746913289,-0.0005307125647387168
random_forest,unweighted,1.0,50.0,123,42,True,False,True,0.8283846305647891,0.8145892830545719,-0.01379534751021716,0.110672906977031,0.10433794534914236,-0.006334961627888644
random_forest,unweighted,1.0,50.0,123,456,True,False,True,0.8264158770557622,0.8188894586753575,-0.007526418380404798,0.1110388482989203,0.10698826929172064,-0.004050579007199656
random_forest,unweighted,1.0,50.0,123,789,True,False,True,0.8280678255017108,0.8180764820119709,-0.009991343489739846,0.1096049365128309,0.10318235814351147,-0.006422578369319434
random_forest,unweighted,1.0,50.0,42,123,True,False,True,0.7993036154324304,0.7870630362036852,-0.012240579228745219,0.1250439196928833,0.1197920264465439,-0.005251893246339415
random_forest,unweighted,1.0,50.0,42,42,True,False,True,0.7967497221433496,0.7862992872246122,-0.010450434918737428,0.1323545766291466,0.12179590070733175,-0.01055867592181485
random_forest,unweighted,1.0,50.0,42,456,True,False,True,0.7949283079988327,0.7856403305988482,-0.009287977399984548,0.1267775599337143,0.12013297194995697,-0.006644587983757347
random_forest,unweighted,1.0,50.0,42,789,True,False,True,0.7946899724099898,0.7838503917052279,-0.010839580704761986,0.1249339696679963,0.12069633761221188,-0.004237632055784424
random_forest,unweighted,1.0,50.0,456,123,True,False,True,0.8166914233191555,0.8108900375917826,-0.005801385727372876,0.1195501809206597,0.11244233624105182,-0.007107844679607872
random_forest,unweighted,1.0,50.0,456,42,True,False,True,0.8167331044455801,0.8113254704551415,-0.005407633990438643,0.1140899390718177,0.1148114163182288,0.000721477246411098
random_forest,unweighted,1.0,50.0,456,456,True,False,True,0.818425560312881,0.811820714201703,-0.006604846111178064,0.1189867069380393,0.11261900662932693,-0.006367700308712365
random_forest,unweighted,1.0,50.0,456,789,True,False,True,0.820746555323804,0.8103892585202417,-0.010357296803562344,0.1164899618577219,0.11613484784613301,-0.0003551140115888862
random_forest,unweighted,1.0,50.0,789,123,True,False,True,0.8262754227918255,0.8171943753961223,-0.009081047395703257,0.1035519428873147,0.10245040128495421,-0.0011015416023604924
random_forest,unweighted,1.0,50.0,789,42,True,False,True,0.824819523851171,0.814927452641318,-0.009892071209852915,0.1060345308279852,0.10304052463219517,-0.0029940061957900305
