cell_id,learner,csl_variant,split_seed,model_seed,R_level,R_eval,threshold_B,threshold_C,threshold_gap,rules_agree,test_ner_B,test_ner_C,delta_ner_test
random_forest__weighted__split456__model789,random_forest,weighted,456,789,val_class_ratio,773.6688311688312,0.192260593175888,0.192260593175888,0.0,True,0.1458617964141695,0.1458617964141695,0.0
random_forest__weighted__split456__model789,random_forest,weighted,456,789,R_x1,773.7010836478753,0.192260593175888,0.192260593175888,0.0,True,0.1458603515577518,0.1458603515577518,0.0
random_forest__weighted__split789__model42,random_forest,weighted,789,42,val_class_ratio,773.6688311688312,0.1782072782516479,0.1782072782516479,0.0,True,0.1226749587019636,0.1226749587019636,0.0
random_forest__weighted__split789__model42,random_forest,weighted,789,42,R_x1,773.7010836478753,0.1782072782516479,0.1782072782516479,0.0,True,0.1226729239547154,0.1226729239547154,0.0
random_forest__weighted__split789__model123,random_forest,weighted,789,123,val_class_ratio,773.6688311688312,0.1707752645015716,0.1707752645015716,0.0,True,0.1323414106351913,0.1323414106351913,0.0
random_forest__weighted__split789__model123,random_forest,weighted,789,123,R_x1,773.7010836478753,0.1707752645015716,0.1707752645015716,0.0,True,0.1323391082765855,0.1323391082765855,0.0
random_forest__weighted__split789__model456,random_forest,weighted,789,456,val_class_ratio,773.6688311688312,0.2023001313209533,0.2023001313209533,0.0,True,0.1224875506381234,0.1224875506381234,0.0
random_forest__weighted__split789__model456,random_forest,weighted,789,456,R_x1,773.7010836478753,0.2023001313209533,0.2023001313209533,0.0,True,0.1224860989153904,0.1224860989153904,0.0
random_forest__weighted__split789__model789,random_forest,weighted,789,789,val_class_ratio,773.6688311688312,0.1941239982843399,0.1941239982843399,0.0,True,0.1279892502478427,0.1279892502478427,0.0
random_forest__weighted__split789__model789,random_forest,weighted,789,789,R_x1,773.7010836478753,0.1941239982843399,0.1941239982843399,0.0,True,0.1279875691814327,0.1279875691814327,0.0
xgboost__unweighted__split42__model42,xgboost,unweighted,42,42,val_class_ratio,773.6688311688312,0.0019162173848599,0.0019162173848599,0.0,True,0.1313766498095467,0.1313766498095467,0.0
xgboost__unweighted__split42__model42,xgboost,unweighted,42,42,R_x1,773.7010836478753,0.0019162173848599,0.0019162173848599,0.0,True,0.1313758764525216,0.1313758764525216,0.0
xgboost__unweighted__split42__model123,xgboost,unweighted,42,123,val_class_ratio,773.6688311688312,0.0013300842838361,0.0013300842838361,0.0,True,0.131158401064293,0.131158401064293,0.0
xgboost__unweighted__split42__model123,xgboost,unweighted,42,123,R_x1,773.7010836478753,0.0013300842838361,0.0013300842838361,0.0,True,0.131157230773017,0.131157230773017,0.0
xgboost__unweighted__split42__model456,xgboost,unweighted,42,456,val_class_ratio,773.6688311688312,0.0021981198806315,0.0021981198806315,0.0,True,0.134045680179068,0.134045680179068,0.0
